Binary,Algorithm,Size,BlockSize,Run_Index,cpu-cycles,mem_load_retired.l1_miss,mem_load_retired.l1_hit,mem_load_retired.l2_miss,mem_load_retired.l2_hit,mem_load_retired.l3_miss,mem_load_retired.l3_hit
./bin/matrixproduct_cpp,3,4096,256,1,109577811414,5552644520,95811551883,427432179,5127270757,18975658,407746881
./bin/matrixproduct_cpp,3,4096,256,2,106734351317,5531752823,97454705674,245029233,5286656870,13850068,230569272
./bin/matrixproduct_cpp,3,4096,256,3,106934825177,5611032724,96873377661,261485928,5350707587,14707811,246469377
./bin/matrixproduct_cpp,3,6144,256,1,395792009770,19817926567,303215455527,4588977556,15218608026,100569987,4490624528
./bin/matrixproduct_cpp,3,6144,256,2,393307883143,19772619702,305291058518,4223482989,15556802410,111531002,4107205077
./bin/matrixproduct_cpp,3,6144,256,3,393073289094,19616191400,305269321103,4305918760,15312668722,87904704,4216821890
./bin/matrixproduct_cpp,3,8192,256,1,949673093865,42443471824,746859064627,10111674927,32328506961,403291962,9710493867
./bin/matrixproduct_cpp,3,10240,256,1,1784607243326,87424015692,1431423725311,20297651564,67134271763,328133669,19963211301
./bin/matrixproduct_cpp,3,4096,512,1,106853263611,6238759270,91377538715,633326401,5606622609,8656856,624079453
./bin/matrixproduct_cpp,3,4096,512,2,106884188757,6659133591,89061140342,671803986,5986544013,8051168,663662764
./bin/matrixproduct_cpp,3,4096,512,3,106572598959,6501067993,89931827787,641556295,5858987651,7608012,633383116
./bin/matrixproduct_cpp,3,6144,512,1,362278701182,21977333043,302406765419,2229512588,19749881493,30647663,2197113943
./bin/matrixproduct_cpp,3,6144,512,2,362483982028,21931759547,302244035682,2217106547,19717671401,31619056,2183709696
./bin/matrixproduct_cpp,3,6144,512,3,358377712606,20391533847,312195070643,2140455455,18255823825,28736455,2110417689
