Binary,Algorithm,Size,BlockSize,Run_Index,Time_Seconds
bin/matrixproduct_go,2,1024,N/A,4,0.560
bin/matrixproduct_go,2,1024,N/A,5,0.572
bin/matrixproduct_go,2,1536,N/A,1,2.254
bin/matrixproduct_go,2,1536,N/A,2,1.878
bin/matrixproduct_go,2,1536,N/A,3,1.997
bin/matrixproduct_go,2,1536,N/A,4,1.868
bin/matrixproduct_go,2,1536,N/A,5,1.867
bin/matrixproduct_go,2,2048,N/A,1,4.896
bin/matrixproduct_go,2,2048,N/A,2,5.103
bin/matrixproduct_go,2,2048,N/A,3,5.052
bin/matrixproduct_go,2,2048,N/A,4,5.268
bin/matrixproduct_go,2,2048,N/A,5,4.910
bin/matrixproduct_go,2,2560,N/A,1,9.950
bin/matrixproduct_go,2,2560,N/A,2,10.119
bin/matrixproduct_go,2,2560,N/A,3,10.198
bin/matrixproduct_go,2,2560,N/A,4,9.953
bin/matrixproduct_go,2,2560,N/A,5,9.959
bin/matrixproduct_go,2,3072,N/A,1,18.120
bin/matrixproduct_go,2,3072,N/A,2,18.078
bin/matrixproduct_go,2,3072,N/A,3,17.381
bin/matrixproduct_go,2,3072,N/A,4,17.618
bin/matrixproduct_go,2,3072,N/A,5,17.457
