Algorithm,Size,SubOption,Threads,Run_Index,Time_Sec,GFlops
1,1024,2,4,1,0.602,3.567248584717608
1,1024,2,4,2,0.598,3.591109779264214
1,1024,2,4,3,0.672,3.1956601904761905
1,1024,2,4,4,0.656,3.2736031219512194
1,1024,2,4,5,0.606,3.543702389438944
1,1536,2,4,1,2.205,3.2869647673469387
1,1536,2,4,2,2.318,3.1267287799827437
1,1536,2,4,3,2.315,3.130780696328294
1,1536,2,4,4,2.078,3.487852411934553
1,1536,2,4,5,2.349,3.085465011494253
1,2048,2,4,1,6.299,2.7273962825845373
1,2048,2,4,2,5.325,3.22626651342723
1,2048,2,4,3,5.961,2.88204482200973
1,2048,2,4,4,6.249,2.7492189444711155
1,2048,2,4,5,6.36,2.701237293081761
1,2560,2,4,1,15.881,2.1128664441785783
1,2560,2,4,2,16.7,2.0092474251497006
1,2560,2,4,3,16.775,2.0002642026825637
1,2560,2,4,4,16.492,2.0345884065001214
1,2560,2,4,5,17.586,1.9080195610144433
1,3072,2,4,1,31.391,1.847091793698831
1,3072,2,4,2,33.871,1.7118496205013136
1,3072,2,4,3,33.762,1.7173762957170784
1,3072,2,4,4,34.18,1.6963738588648332
1,3072,2,4,5,33.784,1.7162579474307365
1,1024,3,4,1,2.476,0.8673197285945072
1,1024,3,4,2,2.346,0.9153809241261722
1,1024,3,4,3,2.465,0.8711901208924949
1,1024,3,4,4,2.618,0.8202764125286478
1,1024,3,4,5,2.44,0.8801162491803278
1,1536,3,4,1,5.645,1.28392512170062
1,1536,3,4,2,5.544,1.3073155324675325
1,1536,3,4,3,6.333,1.1444429673140692
1,1536,3,4,4,6.483,1.1179634909763998
1,1536,3,4,5,6.549,1.106696795235914
1,2048,3,4,1,12.949,1.326733275465287
1,2048,3,4,2,13.516,1.2710764415507547
1,2048,3,4,3,14.969,1.147696518404703
1,2048,3,4,4,14.868,1.155492950228679
1,2048,3,4,5,15.239,1.1273619780825515
1,2560,3,4,1,26.867,1.2489087728440094
1,2560,3,4,2,28.432,1.1801643218908273
1,2560,3,4,3,28.45,1.1794176449912126
1,2560,3,4,4,28.358,1.1832439523238591
1,2560,3,4,5,28.579,1.17409398509395
1,3072,3,4,1,62.09,0.9338389192462554
1,3072,3,4,2,63.422,0.914226270000946
1,3072,3,4,3,67.864,0.8543861030295885
1,3072,3,4,4,69.327,0.8363560877580164
1,3072,3,4,5,63.974,0.9063378637571513
